classement,artiste,artiste_2,artiste_3,artiste_4,titre,editeur,annee,semaine,producer_1,producer_2,writer_1,writer_2,release_date,sample_type,sample_from
96,TAYC,,,,LE TEMPS,PLAY TWO,2022,1,Tayc,Nyadjiko,Tayc,,2021-02-26,interpolation,SUMMER 2021 - L.E.J
97,CÉLINE DION,,,,J'IRAI OÙ TU IRAS,SONY MUSIC ENTERTAINMENT / COLUMBIA,2022,1,Jean-Jacques Goldman,,Jean-Jacques Goldman,,1995-03-30,,
98,ORELSAN,,,,CASSEURS FLOWTERS INFINITY,WAGRAM / WAGRAM MUSIC / 3ÈME BUREAU,2022,1,Skread,,Gringe,OrelSan,2021-11-19,,
99,TONES AND I,,,,DANCE MONKEY,WARNER / ELEKTRA (NEK),2022,1,Konstantin Kersting,,Tones and I,,2019-05-10,sample,2000-2019 mashup | 200 songs from the last 20 years - YamiNoBahamut
100,MACKLEMORE AND RYAN LEWIS,RAY DALTON,,,CAN'T HOLD US,CATALOGUE MARKETING CLASSIQUE / WEA,2022,1,,,,,2011-08-16,,
101,LOUISE ATTAQUE,,,,J'T'EMMÈNE AU VENT,LABEL PANTHEON / BARCLAY,2022,1,Gordon Gano,Warren Bruleigh,Gaëtan Roussel,,0997-04-22,interpolation,Artificiel - DJ Erise
102,TOM GRENNAN,,,,LITTLE BIT OF LOVE,SONY MUSIC ENTERTAINMENT / INSANITY RECORDS,2022,1,Jamie Scott,LOSTBOY,LOSTBOY,Daniel Bryer,2021-01-08,,
103,JUL,,,,MA CASIO,BELIEVE / D'OR ET DE PLATINE,2022,1,Handy y Kap’z,Univers Sound,JuL,,2021-11-29,,
104,TAYC,TIAKOLA,,,P A S C O M M E Ç A,BELIEVE / PLAY TWO,2022,1,MK10 On The Beat,Mr Behi,Tiakola,Tayc,2021-11-19,interpolation,No Wahala - 1da Banton
105,DJ SNAKE,,,,SG,CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC,2022,1,DJ Snake,Yampi,Teddy Park,DJ Snake,2021-10-22,interpolation,Taki Taki - DJ Snake
106,MAES,,,,MARDI GRAS,CAPITOL MUSIC FRANCE / MILLENIUM,2022,1,Hok (Producer),Noxious,Tiakola,Zed,2021-11-26,,
107,LE CLASSICO ORGANISÉ,,,,LOI DE LA CALLE,BELIEVE / RIEN 100 RIEN,2022,1,Mehsah,,Alonzo,Kofs,2021-10-22,sample,She Is So Hurt - Toygar Işıklı
108,ORELSAN,,,,SEUL AVEC DU MONDE AUTOUR,WAGRAM / WAGRAM MUSIC / 3ÈME BUREAU,2022,1,Skread,,OrelSan,,2021-11-19,interpolation,CP_003_Toujours perdu quand même - OrelSan
109,BOOBA,,,,MONA LISA,CAPITOL MUSIC FRANCE / TALLAC RECORDS,2022,1,Nassi,Kayna Samet,JSX,Booba,2021-03-04,interpolation,Anesthésie (Outro) - Kalash
110,ZIAK,,,,AKIMBO,CAPITOL MUSIC FRANCE / MILLENIUM,2022,1,Focus Beatz,Hellboy (FRA),Ziak,​web7,2021-10-26,,
111,GUY2BEZBAR,,,,FULL BLACK,BLUE MAGIC CORP,2022,1,Twinsmatic,,Guy2Bezbar,,2021-11-19,,
112,DAVID GUETTA,KID CUDI,,,MEMORIES,WARNER / PARLOPHONE (FRANCE),2022,1,,,,,,,
113,JULIETTE ARMANET,,,,LE DERNIER JOUR DU DISCO,ROMANCE MUSIQUE,2022,1,Yuksek,Juliette Armanet,Diane Jacqus,Juliette Armanet,2021-09-17,,
114,SHAWN MENDES,,,,IT'LL BE OKAY,ISLAND DEF JAM / UNIVERSAL MUSIC,2022,1,johan lenox,Shawn Mendes,Eddie Benjamin,Scott Harris,2021-12-01,sample,Everything: 2022 Megamix - Joseph James (DJ)
115,GABRY PONTE/LUM!X/PREZIOSO,,,,THUNDER,WARNER / SPINNIN' RECORDS,2022,1,Prezioso,Gabry Ponte,Prezioso,Alessandro Hueber,2021-05-07,sample,Viento - Gabry Ponte
116,NO LIMIT (DADJU,CHRIS BROWN,SKREAD),,GOODBYE,SONY MUSIC ENTERTAINMENT / NO LIMIT PROD,2022,1,Skread,,Dadju,Chris Brown,2021-12-17,,
117,CLARA LUCIANI,,,,LE RESTE,ROMANCE MUSIQUE,2022,1,Sage,Pierrick Devin,Sage,Clara Luciani,2021-04-09,,
118,INDOCHINE,,,,L'AVENTURIER,RCA GROUP / INDOCHINE RECORDS,2022,1,Patrick Chevalot,​Patrick Le Morvan,Nicola Sirkis,,1982-11-15,,
119,JUL,,,,LOVE DE MOI,BELIEVE / D'OR ET DE PLATINE,2022,1,Iordan,Farukqsm,JuL,,2021-12-10,,
120,REIK,ROCCO HUNT,ANA MENA,,A UN PASO DE LA LUNA,SONY MUSIC ENTERTAINMENT / COLUMBIA,2022,1,Andrés Torres,El Dandee,Rocco Hunt,Andrés Torres,2021-03-23,,
121,ZIAK,,,,RASPOUTINE,BELIEVE / I. S.,2022,1,Jangobeats,,Ziak,,2020-01-31,interpolation,GTA #22 - Malty 2BZ
122,ALONZO,,,,LA SELEÇAO,ISLAND DEF JAM / ONLY PRO,2022,1,JuL,,Naps,JuL,2021-03-26,,
123,JUL,,,,AGHJU CAPITU,BELIEVE / D'OR ET DE PLATINE,2022,1,JuL,,JuL,,2021-12-10,,
124,NINHO,,,,BINKS TO BINKS 7,WARNER / REC. 118,2022,1,Perfect Beats,Noxious,Ninho,Perfect Beats,2021-11-30,interpolation,Whoopty - CJ
125,JAYMES YOUNG,,,,INFINITY,WARNER / ATLANTIC RECORDS,2022,1,Billboard (Producer),Jaymes Young,Billboard (Producer),Jaymes Young,2017-06-23,sample,infiniti - Lil Soda Boi
126,ANGÈLE,,,,TAXI,ROMANCE MUSIQUE / ANGELE VL RECORDS,2022,1,Angèle,Tristan Salvati,Angèle,,2021-12-03,,
127,EVA,,,,CIEL,MCA / ALDAM PRODUCTION,2022,1,Seysey,JY Prod,Eva,,2021-11-12,,
128,GRADUR,FRANGLISH,,,TRUCS DE CHOSES,CAPITOL MUSIC FRANCE / ARGENTIC MUSIC,2022,1,Young Bouba,,Gradur,Franglish,2021-07-30,,
129,THE BLACK EYED PEAS,,,,I GOTTA FEELING,POLYDOR / INTERSCOPE RECORDS,2022,1,,,,,,,
130,ORELSAN,,,,BAISE LE MONDE,WAGRAM / WAGRAM MUSIC / 3ÈME BUREAU,2022,1,Skread,,OrelSan,,2021-11-19,,
131,LEILA AD,,,,À QUI LA FAUTE,WARNER / BMG RIGHTS MGMT FRANCE SARL,2022,1,Aladdin,,Leila AD,,2021-04-28,sample,VIDA - Dydouski
132,GAZO,,,,HAINE&SEX,BSB PROD,2022,1,Selecta Killa,,Gazo,Selecta Killa,2021-02-26,,
133,MENACE SANTANA,,,,FAIS UN VOEU !,ADA FRANCE / FAKE DREAM MUSIC/ADA FRANCE,2022,1,Lewnwv,,​menace Santana,,2021-12-17,,
134,DAMSO,,,,?. MOROSE,TRENTE-QUATRE CENTIMES,2022,1,Jim Henderson,Jean-Marie Aerts,Damso,Jim Henderson,2021-04-29,,
135,ORELSAN,,,,RÊVE MIEUX,3EME BUREAU,2022,1,Phazz,,OrelSan,,2021-11-19,interpolation,CP_005_Ok... Super... - OrelSan
136,MARK RONSON,BRUNO MARS,,,UPTOWN FUNK,SONY MUSIC CATALOGUE / COLUMBIA,2022,1,Mark Ronson,Jeff Bhasker,Mark Ronson,Jeff Bhasker,2014-11-10,sample,I Don’t Believe You Want to Get Up and Dance (Oops!) - The Gap Band
137,OFENBACH,LAGIQUE,,,WASTED LOVE,WARNER / ELEKTRA FRANCE,2022,1,Jen Jis,,Sophia Ayana,Rock-A-Tune,2021-01-08,,
138,OBOY,,,,CABEZA,BELIEVE / SYNDICATE RECORDS,2022,1,​mammouth,,OBOY,,2020-07-03,,
139,LAYLOW,,,,SPECIAL,SONY MUSIC ENTERTAINMENT / DIGITALMUNDO,2022,1,Purple Airlines,,L. LaBorde,,2020-08-21,,
140,DAMSO,,,,MACARENA,CAPITOL MUSIC FRANCE / CAPITOL,2022,1,Double X,,Damso,,2017-04-28,sample,Normal - Fallon
